camera_view,person,session,filename,path,size_mb,sync_group
cam_side_r,imi,session1,Basler_a2A1920-160ucBAS__40399460__20250219_172044476.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session1/Basler_a2A1920-160ucBAS__40399460__20250219_172044476.mp4,136.05,Basler_a2A1920-160ucBAS__40399460__20250219_172044476
cam_side_r,imi,session1,Basler_a2A1920-160ucBAS__40399460__20250219_171007581.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session1/Basler_a2A1920-160ucBAS__40399460__20250219_171007581.mp4,130.23,Basler_a2A1920-160ucBAS__40399460__20250219_171007581
cam_side_r,imi,session1,Basler_a2A1920-160ucBAS__40399460__20250219_170316318.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session1/Basler_a2A1920-160ucBAS__40399460__20250219_170316318.mp4,130.08,Basler_a2A1920-160ucBAS__40399460__20250219_170316318
cam_side_r,imi,session1,Basler_a2A1920-160ucBAS__40399460__20250219_171855411.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session1/Basler_a2A1920-160ucBAS__40399460__20250219_171855411.mp4,131.82,Basler_a2A1920-160ucBAS__40399460__20250219_171855411
cam_side_r,imi,session1,Basler_a2A1920-160ucBAS__40399460__20250219_170658686.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session1/Basler_a2A1920-160ucBAS__40399460__20250219_170658686.mp4,75.09,Basler_a2A1920-160ucBAS__40399460__20250219_170658686
cam_side_r,zolti,session2,Basler_a2A1920-160ucBAS__40399460__20250219_175744281.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session2/Basler_a2A1920-160ucBAS__40399460__20250219_175744281.mp4,129.94,Basler_a2A1920-160ucBAS__40399460__20250219_175744281
cam_side_r,zolti,session2,Basler_a2A1920-160ucBAS__40399460__20250219_180128931.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session2/Basler_a2A1920-160ucBAS__40399460__20250219_180128931.mp4,130.26,Basler_a2A1920-160ucBAS__40399460__20250219_180128931
cam_side_r,zolti,session2,Basler_a2A1920-160ucBAS__40399460__20250219_180320568.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session2/Basler_a2A1920-160ucBAS__40399460__20250219_180320568.mp4,47.71,Basler_a2A1920-160ucBAS__40399460__20250219_180320568
cam_side_r,zolti,session2,Basler_a2A1920-160ucBAS__40399460__20250219_175937582.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session2/Basler_a2A1920-160ucBAS__40399460__20250219_175937582.mp4,138.88,Basler_a2A1920-160ucBAS__40399460__20250219_175937582
cam_side_r,zolti,session2,Basler_a2A1920-160ucBAS__40399460__20250219_175518981.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session2/Basler_a2A1920-160ucBAS__40399460__20250219_175518981.mp4,132.44,Basler_a2A1920-160ucBAS__40399460__20250219_175518981
